match_id,game_datetime,game_date,duration_sec,duration_min,version,queue_id,tft_set_number,tft_game_type
JP1_592177494,2026-07-11 14:06:17,2026-07-11,2154.3,35.9,16.13.791.5903,1100,17,standard
JP1_592170739,2026-07-11 13:25:21,2026-07-11,2173.1,36.2,16.13.791.5903,1100,17,standard
JP1_592168131,2026-07-11 12:48:54,2026-07-11,2384.1,39.7,16.13.791.5903,1100,17,standard
JP1_592163157,2026-07-11 12:03:21,2026-07-11,2154.2,35.9,16.13.791.5903,1100,17,standard
JP1_592160114,2026-07-11 11:26:23,2026-07-11,2058.8,34.3,16.13.791.5903,1100,17,standard
JP1_592156476,2026-07-11 10:45:03,2026-07-11,2038.7,34.0,16.13.791.5903,1100,17,standard
JP1_592562985,2026-07-13 22:02:03,2026-07-13,2035.2,33.9,16.13.791.5903,1100,17,standard
JP1_592554099,2026-07-13 21:21:22,2026-07-13,2122.5,35.4,16.13.791.5903,1100,17,standard
JP1_592547097,2026-07-13 20:46:44,2026-07-13,2223.2,37.1,16.13.791.5903,1100,17,standard
JP1_592504790,2026-07-13 14:27:11,2026-07-13,1748.1,29.1,16.13.791.5903,1100,17,standard
JP1_592501982,2026-07-13 14:00:58,2026-07-13,2183.1,36.4,16.13.791.5903,1100,17,standard
JP1_592501054,2026-07-13 13:17:07,2026-07-13,2053.8,34.2,16.13.791.5903,1100,17,standard
JP1_592471362,2026-07-13 01:25:05,2026-07-13,1993.3,33.2,16.13.791.5903,1100,17,standard
JP1_592440428,2026-07-12 22:30:07,2026-07-12,2142.2,35.7,16.13.791.5903,1100,17,standard
JP1_592389992,2026-07-12 17:55:56,2026-07-12,2059.8,34.3,16.13.791.5903,1100,17,standard
JP1_592383916,2026-07-12 17:15:07,2026-07-12,2123.1,35.4,16.13.791.5903,1100,17,standard
JP1_592378919,2026-07-12 16:39:09,2026-07-12,1998.0,33.3,16.13.791.5903,1100,17,standard
JP1_592370885,2026-07-12 15:48:03,2026-07-12,2003.0,33.4,16.13.791.5903,1100,17,standard
JP1_592363635,2026-07-12 15:00:00,2026-07-12,2087.4,34.8,16.13.791.5903,1100,17,standard
JP1_592358138,2026-07-12 14:18:13,2026-07-12,2151.1,35.9,16.13.791.5903,1100,17,standard
JP1_592218645,2026-07-11 19:03:13,2026-07-11,2252.2,37.5,16.13.791.5903,1100,17,standard
JP1_592212878,2026-07-11 18:19:19,2026-07-11,2025.0,33.8,16.13.791.5903,1100,17,standard
JP1_592208715,2026-07-11 17:43:41,2026-07-11,1955.6,32.6,16.13.791.5903,1100,17,standard
JP1_592500825,2026-07-13 13:40:22,2026-07-13,2083.4,34.7,16.13.791.5903,1100,17,standard
JP1_592498675,2026-07-13 12:57:48,2026-07-13,2084.7,34.7,16.13.791.5903,1100,17,standard
JP1_592496670,2026-07-13 12:13:19,2026-07-13,2074.5,34.6,16.13.791.5903,1100,17,standard
JP1_592494132,2026-07-13 11:12:51,2026-07-13,1958.6,32.6,16.13.791.5903,1100,17,standard
JP1_592161036,2026-07-11 11:37:28,2026-07-11,2083.5,34.7,16.13.791.5903,1100,17,standard
JP1_592159008,2026-07-11 11:04:49,2026-07-11,2056.8,34.3,16.13.791.5903,1100,17,standard
JP1_592153959,2026-07-11 10:29:31,2026-07-11,2061.0,34.4,16.13.791.5903,1100,17,standard
JP1_592529509,2026-07-13 18:54:06,2026-07-13,2089.5,34.8,16.13.791.5903,1100,17,standard
JP1_592421271,2026-07-12 21:04:06,2026-07-12,2020.9,33.7,16.13.791.5903,1100,17,standard
JP1_592412796,2026-07-12 20:28:11,2026-07-12,1958.6,32.6,16.13.791.5903,1100,17,standard
JP1_592408017,2026-07-12 19:53:21,2026-07-12,2234.2,37.2,16.13.791.5903,1100,17,standard
JP1_592401430,2026-07-12 19:11:17,2026-07-12,1988.0,33.1,16.13.791.5903,1100,17,standard
JP1_592394921,2026-07-12 18:38:24,2026-07-12,2380.0,39.7,16.13.791.5903,1100,17,standard
JP1_592372957,2026-07-12 15:57:50,2026-07-12,1973.3,32.9,16.13.791.5903,1100,17,standard
JP1_592367607,2026-07-12 15:25:24,2026-07-12,2069.0,34.5,16.13.791.5903,1100,17,standard
JP1_592363232,2026-07-12 14:47:21,2026-07-12,2049.4,34.2,16.13.791.5903,1100,17,standard
JP1_592289133,2026-07-12 00:35:11,2026-07-12,2119.5,35.3,16.13.791.5903,1100,17,standard
JP1_592279891,2026-07-11 23:54:53,2026-07-11,2062.7,34.4,16.13.791.5903,1100,17,standard
JP1_592271482,2026-07-11 23:17:51,2026-07-11,1909.5,31.8,16.13.791.5903,1100,17,standard
JP1_592262415,2026-07-11 22:43:06,2026-07-11,2031.3,33.9,16.13.791.5903,1100,17,standard
JP1_592253898,2026-07-11 22:13:16,2026-07-11,2078.8,34.6,16.13.791.5903,1100,17,standard
JP1_592244831,2026-07-11 21:33:35,2026-07-11,2006.0,33.4,16.13.791.5903,1100,17,standard
JP1_592237620,2026-07-11 20:56:27,2026-07-11,2044.0,34.1,16.13.791.5903,1100,17,standard
JP1_592232068,2026-07-11 20:25:37,2026-07-11,2142.0,35.7,16.13.791.5903,1100,17,standard
JP1_592223962,2026-07-11 19:43:07,2026-07-11,1987.1,33.1,16.13.791.5903,1100,17,standard
JP1_592204734,2026-07-11 17:16:31,2026-07-11,2143.7,35.7,16.13.791.5903,1100,17,standard
JP1_592197875,2026-07-11 16:37:09,2026-07-11,2102.5,35.0,16.13.791.5903,1100,17,standard
JP1_592193279,2026-07-11 15:54:40,2026-07-11,1874.8,31.2,16.13.791.5903,1100,17,standard
JP1_592188082,2026-07-11 15:18:18,2026-07-11,1912.8,31.9,16.13.791.5903,1100,17,standard
JP1_592183209,2026-07-11 14:41:44,2026-07-11,2003.0,33.4,16.13.791.5903,1100,17,standard
JP1_592172277,2026-07-11 13:25:35,2026-07-11,1923.0,32.0,16.13.791.5903,1100,17,standard
JP1_592159504,2026-07-11 11:26:00,2026-07-11,2371.8,39.5,16.13.791.5903,1100,17,standard
JP1_592152512,2026-07-11 10:07:26,2026-07-11,2033.3,33.9,16.13.791.5903,1100,17,standard
JP1_592125837,2026-07-11 02:09:19,2026-07-11,1972.6,32.9,16.13.791.5903,1100,17,standard
JP1_592116467,2026-07-11 01:05:46,2026-07-11,2012.6,33.5,16.13.791.5903,1100,17,standard
JP1_592111489,2026-07-11 00:34:48,2026-07-11,2066.2,34.4,16.13.791.5903,1100,17,standard
JP1_592533357,2026-07-13 19:29:26,2026-07-13,2073.7,34.6,16.13.791.5903,1100,17,standard
JP1_592526161,2026-07-13 18:17:51,2026-07-13,2160.8,36.0,16.13.791.5903,1100,17,standard
JP1_592476628,2026-07-13 02:49:13,2026-07-13,1987.1,33.1,16.13.791.5903,1100,17,standard
JP1_592511059,2026-07-13 15:35:31,2026-07-13,2229.6,37.2,16.13.791.5903,1100,17,standard
JP1_592507435,2026-07-13 14:56:39,2026-07-13,1947.7,32.5,16.13.791.5903,1100,17,standard
JP1_592501176,2026-07-13 13:20:46,2026-07-13,1861.8,31.0,16.13.791.5903,1100,17,standard
JP1_592497659,2026-07-13 12:44:44,2026-07-13,2127.3,35.5,16.13.791.5903,1100,17,standard
JP1_592494407,2026-07-13 11:31:15,2026-07-13,1970.7,32.8,16.13.791.5903,1100,17,standard
JP1_592493582,2026-07-13 11:04:46,2026-07-13,2075.3,34.6,16.13.791.5903,1100,17,standard
JP1_592493057,2026-07-13 10:29:42,2026-07-13,2150.2,35.8,16.13.791.5903,1100,17,standard
JP1_592490614,2026-07-13 09:52:39,2026-07-13,2022.2,33.7,16.13.791.5903,1100,17,standard
JP1_592489375,2026-07-13 09:16:09,2026-07-13,2122.9,35.4,16.13.791.5903,1100,17,standard
JP1_592487855,2026-07-13 08:38:51,2026-07-13,1795.4,29.9,16.13.791.5903,1100,17,standard
JP1_592151021,2026-07-11 09:33:22,2026-07-11,2219.1,37.0,16.13.791.5903,1100,17,standard
JP1_592148355,2026-07-11 08:55:19,2026-07-11,1952.0,32.5,16.13.791.5903,1100,17,standard
JP1_592145737,2026-07-11 08:13:41,2026-07-11,2079.8,34.7,16.13.791.5903,1100,17,standard
JP1_592145233,2026-07-11 07:36:55,2026-07-11,1998.0,33.3,16.13.791.5903,1100,17,standard
JP1_592143335,2026-07-11 06:56:22,2026-07-11,1990.8,33.2,16.13.791.5903,1100,17,standard
JP1_592586226,2026-07-13 23:43:19,2026-07-13,2283.4,38.1,16.13.791.5903,1100,17,standard
JP1_592577531,2026-07-13 23:02:57,2026-07-13,2185.0,36.4,16.13.791.5903,1100,17,standard
JP1_592570239,2026-07-13 22:25:18,2026-07-13,2101.7,35.0,16.13.791.5903,1100,17,standard
JP1_592560441,2026-07-13 21:52:26,2026-07-13,2240.5,37.3,16.13.791.5903,1100,17,standard
JP1_592187829,2026-07-11 15:26:57,2026-07-11,2005.9,33.4,16.13.791.5903,1100,17,standard
JP1_592182601,2026-07-11 14:50:51,2026-07-11,2083.5,34.7,16.13.791.5903,1100,17,standard
JP1_592176801,2026-07-11 14:10:34,2026-07-11,1995.7,33.3,16.13.791.5903,1100,17,standard
JP1_592337858,2026-07-12 11:36:13,2026-07-12,1987.6,33.1,16.13.791.5903,1100,17,standard
JP1_592336599,2026-07-12 11:10:18,2026-07-12,1965.2,32.8,16.13.791.5903,1100,17,standard
JP1_592334174,2026-07-12 10:42:12,2026-07-12,2221.5,37.0,16.13.791.5903,1100,17,standard
JP1_592331097,2026-07-12 09:54:46,2026-07-12,1998.8,33.3,16.13.791.5903,1100,17,standard
JP1_592328431,2026-07-12 09:20:43,2026-07-12,1837.0,30.6,16.13.791.5903,1100,17,standard
JP1_592325657,2026-07-12 08:46:27,2026-07-12,2166.8,36.1,16.13.791.5903,1100,17,standard
JP1_592319857,2026-07-12 06:15:14,2026-07-12,1889.6,31.5,16.13.791.5903,1100,17,standard
JP1_592314034,2026-07-12 03:42:12,2026-07-12,2127.7,35.5,16.13.791.5903,1100,17,standard
JP1_592312088,2026-07-12 03:06:43,2026-07-12,2012.9,33.5,16.13.791.5903,1100,17,standard
JP1_592307139,2026-07-12 02:27:46,2026-07-12,2069.0,34.5,16.13.791.5903,1100,17,standard
JP1_592301540,2026-07-12 01:50:20,2026-07-12,2011.8,33.5,16.13.791.5903,1100,17,standard
JP1_592295241,2026-07-12 01:09:11,2026-07-12,2188.9,36.5,16.13.791.5903,1100,17,standard
JP1_592222051,2026-07-11 19:13:34,2026-07-11,2193.7,36.6,16.13.791.5903,1100,17,standard
JP1_592142918,2026-07-11 07:13:45,2026-07-11,2071.8,34.5,16.13.791.5903,1100,17,standard
JP1_592142430,2026-07-11 06:31:15,2026-07-11,2070.6,34.5,16.13.791.5903,1100,17,standard
JP1_592139897,2026-07-11 05:41:28,2026-07-11,1904.2,31.7,16.13.791.5903,1100,17,standard
JP1_592134771,2026-07-11 03:44:23,2026-07-11,2024.7,33.7,16.13.791.5903,1100,17,standard
JP1_592131855,2026-07-11 03:10:20,2026-07-11,2174.5,36.2,16.13.791.5903,1100,17,standard
JP1_592128677,2026-07-11 02:35:05,2026-07-11,2189.9,36.5,16.13.791.5903,1100,17,standard
JP1_592124505,2026-07-11 01:49:06,2026-07-11,1765.3,29.4,16.13.791.5903,1100,17,standard
JP1_592120031,2026-07-11 01:13:07,2026-07-11,1909.6,31.8,16.13.791.5903,1100,17,standard
JP1_592112345,2026-07-11 00:39:54,2026-07-11,1950.7,32.5,16.13.791.5903,1100,17,standard
JP1_592487454,2026-07-13 07:57:12,2026-07-13,2058.4,34.3,16.13.791.5903,1100,17,standard
JP1_592465936,2026-07-13 00:48:33,2026-07-13,2016.7,33.6,16.13.791.5903,1100,17,standard
JP1_592448459,2026-07-12 23:02:16,2026-07-12,2052.1,34.2,16.13.791.5903,1100,17,standard
JP1_592401679,2026-07-12 19:19:27,2026-07-12,2132.6,35.5,16.13.791.5903,1100,17,standard
JP1_592376732,2026-07-12 16:25:14,2026-07-12,2049.9,34.2,16.13.791.5903,1100,17,standard
JP1_592373190,2026-07-12 15:57:59,2026-07-12,2082.1,34.7,16.13.791.5903,1100,17,standard
JP1_592314511,2026-07-12 04:03:50,2026-07-12,2081.9,34.7,16.13.791.5903,1100,17,standard
JP1_592215187,2026-07-11 18:28:36,2026-07-11,2174.8,36.2,16.13.791.5903,1100,17,standard
JP1_592207583,2026-07-11 17:33:24,2026-07-11,2103.9,35.1,16.13.791.5903,1100,17,standard
JP1_592201907,2026-07-11 16:58:02,2026-07-11,2051.3,34.2,16.13.791.5903,1100,17,standard
JP1_592194843,2026-07-11 16:17:00,2026-07-11,1946.5,32.4,16.13.791.5903,1100,17,standard
JP1_592185667,2026-07-11 15:12:12,2026-07-11,2026.4,33.8,16.13.791.5903,1100,17,standard
JP1_592140066,2026-07-11 05:04:48,2026-07-11,2100.5,35.0,16.13.791.5903,1100,17,standard
JP1_592138311,2026-07-11 04:18:20,2026-07-11,2165.4,36.1,16.13.791.5903,1100,17,standard
JP1_592118914,2026-07-11 01:24:55,2026-07-11,2110.8,35.2,16.13.791.5903,1100,17,standard
JP1_592534976,2026-07-13 19:46:19,2026-07-13,2129.4,35.5,16.13.791.5903,1100,17,standard
