match_id,puuid,game_name,tagline,player_id,placement,win,level,gold_left,last_round,total_damage,players_eliminated,time_eliminated_sec
JP1_592177494,QYkEwooIlnK4TC_AWGCpjLSd3OCul04wcO7zdTAlh7rPE3M3r2ZLxF2DnDlJ3fOZN6aOoYIGrB2B1Q,bibian1209,1209,bibian1209#1209,5,False,8,13,28,54,0,1693.4
JP1_592177494,MpdBaqLmcMctOwO3kWFfaJwuNCsT5nWOkUrpwpcriz5LrK_9sh6Oe7czC-iOxIUoPMBwV7yyJsG8Uw,Maple,sry,Maple#sry,6,False,8,1,27,55,0,1622.8
JP1_592177494,XAvxJ391SaiQ86GZ4GwhOQGqW-PPsgxciQzPT-e9EnI_q14C9FkqlMguOWVUzPhtXrivnurooDeAPQ,新山玉,JPN,新山玉#JPN,4,True,9,7,35,131,0,2072.3
JP1_592177494,i9zrj2cto8LvovdJyiX7gnQsx1IbDnDWlZ-Oog1y0kCxO7xmIgi6makHob7OuO4u_MpM1wuv0NiazA,gasin,JP1,gasin#JP1,7,False,7,1,27,56,0,1610.8
JP1_592177494,fi_uqJywiBT-5fl_w4XCbCjyrZtasjKY3sg6vcZdfb6X1caYv2f5y3Q6GbzrA2XEZRw6aEpNAT-PFQ,ZETA yatsuhashi,3210,ZETA yatsuhashi#3210,1,True,10,5,37,178,3,2146.0
JP1_592177494,b6MmeHmH2MqPBQlahnX0L1R-d3r4BX_FO20mqaz9P6AZHP2bOJ577DKpCOYemvjO_FI31ZmfqE3W7g,木豆寸,hirt,木豆寸#hirt,8,False,8,3,21,17,0,1266.5
JP1_592177494,iuGYwuSchbaQ5x377boxN4GIJ4FzIJNT-FP5O9-5qWLJs3eG15udO677OLPdyFCMprnPw7_d06Vyqg,FreeSky,JP1,FreeSky#JP1,3,True,9,0,37,148,3,2142.3
JP1_592177494,zqzUQTcQgkgjon1dVtcTxu81lZXk-fVdGOFX4_Q24WQw5YzZBSJU5UXSeI7AmpHH-Z6JMaERzMoqvQ,お抹茶,late,お抹茶#late,2,True,9,7,37,152,0,2144.0
JP1_592170739,DlpWp2uiyUpC8BPjNFscCY-T4cZCj8pAx1x4TrzlqfTMB_9FL-8sh3K2N6cBnRKy7IdWJjRMsP87ng,ItsCaramel,crml,ItsCaramel#crml,8,False,9,1,24,25,0,1407.3
JP1_592170739,fi_uqJywiBT-5fl_w4XCbCjyrZtasjKY3sg6vcZdfb6X1caYv2f5y3Q6GbzrA2XEZRw6aEpNAT-PFQ,ZETA yatsuhashi,3210,ZETA yatsuhashi#3210,2,True,10,0,38,187,2,2164.8
JP1_592170739,izlWfRjNb9XSLovWFK0lV-4_mJByIn_e_BHN-TOVO_Tl8ZNX74vqizFkcfeGFt6i-CesYOd1JqM2KA,ますかっと,10310,ますかっと#10310,5,False,8,0,31,100,0,1801.0
JP1_592170739,3U-sJ30obnEBeFYj8y8BAA_hm631uiLZJ1RWKiYJLW6t518hxqK7VFbWpxOdd_B_VaJib4feJqLGOQ,aikosuki,JP1,aikosuki#JP1,3,True,8,0,35,120,0,2032.2
JP1_592170739,h2oT4k5oKGjrM_A7MroCrYIyHZxZC3a4SiUxurxHTgDFyO1s9B-9RIYgV-acwEVZnNb3KVg3pudgUQ,treefroger,JP1,treefroger#JP1,7,False,7,1,24,36,0,1389.3
JP1_592170739,r8BUg-f5PeEB7dfw3A_rXq2MLmCWZDJ7l_8yk4B7ZSatQsCUhjzprJjQ5g8oORlaQ82xNLCb3MkktQ,KAITO,617,KAITO#617,1,True,10,4,38,172,3,2164.8
JP1_592170739,UAijOYSZgiOKlqp7MBkXoDzpS4iYTFfr2fD0cfsAf3XArXAsU0-3TwIYBgHHB7Ykh55lpS0fn-sg8A,Riachax,edm4,Riachax#edm4,6,False,8,20,30,86,0,1731.4
JP1_592170739,b6MmeHmH2MqPBQlahnX0L1R-d3r4BX_FO20mqaz9P6AZHP2bOJ577DKpCOYemvjO_FI31ZmfqE3W7g,木豆寸,hirt,木豆寸#hirt,4,True,10,1,34,141,2,1972.6
JP1_592168131,ijY8_OoaYpYaxzjhDTM2S--36wBSO--ca5sCUNSvxov193TMx9v7gq9AA37YFDGSJdWR64_03aHe_w,summertimer 大好き,3331,summertimer 大好き#3331,1,True,8,2,41,226,2,2375.8
JP1_592168131,5CVmZA65ORBEZ5BoMh2kiGp4dRbr6wJy2fBab_Ic7VUgNxKfmmWDXrFpcetdECS3O9KAbHdce7loFg,bitter,0522,bitter#0522,7,False,6,6,27,50,0,1595.8
JP1_592168131,IPYOcY3ywBMdMn8SP3OmvZs0wd4JRX5Qc9Tp5fh0nDxe3mYhfyFgNWkdJ2WAjB-elj1TxaZhMbHJvg,grand menteur,JP1,grand menteur#JP1,6,False,8,4,28,59,0,1633.2
JP1_592168131,fi_uqJywiBT-5fl_w4XCbCjyrZtasjKY3sg6vcZdfb6X1caYv2f5y3Q6GbzrA2XEZRw6aEpNAT-PFQ,ZETA yatsuhashi,3210,ZETA yatsuhashi#3210,4,True,8,32,34,125,0,1994.0
JP1_592168131,wkd5QKmTjvIiD6q9iBkPaSmM0giqfKiRoRaOv4srCZ1ZskbLU4sfrF5vriUVGuHjJCAFTn_4Oh3h1A,buruzuai,JP1,buruzuai#JP1,8,False,9,0,26,33,0,1512.8
JP1_592168131,XAvxJ391SaiQ86GZ4GwhOQGqW-PPsgxciQzPT-e9EnI_q14C9FkqlMguOWVUzPhtXrivnurooDeAPQ,新山玉,JPN,新山玉#JPN,2,True,9,2,41,191,1,2375.8
JP1_592168131,EB1XpCrVk16rgNYxgH1L1MJPS1ho6-w8l1QjzrLbVPVPKgWcoOtjPhqPeil9nDUozERmhnfa38pkKg,刹那の刃,xxx,刹那の刃#xxx,5,False,9,2,31,84,2,1827.4
JP1_592168131,r8BUg-f5PeEB7dfw3A_rXq2MLmCWZDJ7l_8yk4B7ZSatQsCUhjzprJjQ5g8oORlaQ82xNLCb3MkktQ,KAITO,617,KAITO#617,3,True,8,55,34,109,2,1998.3
JP1_592163157,fi_uqJywiBT-5fl_w4XCbCjyrZtasjKY3sg6vcZdfb6X1caYv2f5y3Q6GbzrA2XEZRw6aEpNAT-PFQ,ZETA yatsuhashi,3210,ZETA yatsuhashi#3210,2,True,10,43,37,163,1,2146.0
JP1_592163157,ueGbq2tSipHd9sTv2yK5Xy3uGtRxnNf95E5knyTY_lXt_G_O-xJcQYyTkO5Mdc1KiHCltCVbNoexKg,AGNX,13912,AGNX#13912,8,False,8,2,26,51,0,1549.9
JP1_592163157,ibhV2Ab-Fma1hDJq4FBtevgwKb8mbG1I7E3NJ-D3a2Ppo-Ah6WpOVIqqbGCBLmF298RWJG_xxGEbGA,Nameti,JP2,Nameti#JP2,5,False,9,37,30,83,0,1773.2
JP1_592163157,ziOkL56wYo0ddYRLynpPTNhtcpFLZwPbDRLKW-gXNvf3q1i8Excq-NIuI6S6g70K1GAQPmgG2FGqIQ,うに軍,JP1,うに軍#JP1,4,True,8,8,32,126,1,1844.9
JP1_592163157,XAvxJ391SaiQ86GZ4GwhOQGqW-PPsgxciQzPT-e9EnI_q14C9FkqlMguOWVUzPhtXrivnurooDeAPQ,新山玉,JPN,新山玉#JPN,3,True,9,0,34,126,0,2002.8
JP1_592163157,-PoqSRYOVKb1wnVrLxPZ6LPGVSa8ytwNlIubgkKbKiZsRjvE5BHZl5nPGb8FsB4UnF4yKtZcl2K35g,ドラゴン翼,JP1,ドラゴン翼#JP1,1,True,9,1,37,151,3,2146.0
JP1_592163157,IAuCpdO6o97-VHxzItujKA7hL0NG1JkstYTpwFjA_idPpyCx5TB2kPrbn1I2yMLdJoSWX-onkfSWLg,KDLGGRS,7538,KDLGGRS#7538,6,False,8,8,27,62,1,1624.8
JP1_592163157,UR4QuAkJUqrnM0tBSP2oaH3JjjcduTjch_hfRovfeZdEKvsTG4treUat0jlUusTNktsKbKTkGR756g,coru,107,coru#107,7,False,8,2,26,42,0,1560.2
JP1_592160114,H2GDOjXQssgXVY-PyRKDo8UFfq76X2SbDd__YfPwpu4ddTfZa4vWi32-28vQm2zO6yCgkKDkHMSLiw,44258,2215,44258#2215,8,False,9,0,27,45,0,1578.1
JP1_592160114,fi_uqJywiBT-5fl_w4XCbCjyrZtasjKY3sg6vcZdfb6X1caYv2f5y3Q6GbzrA2XEZRw6aEpNAT-PFQ,ZETA yatsuhashi,3210,ZETA yatsuhashi#3210,6,False,9,1,30,75,0,1702.8
JP1_592160114,x0OZVRUs3V-6ytbw1cR_Ok8ixaerVfqB14T_InejO-g-kqc2m98xEmtaAF3zEdQkajdupDdw-kdUaw,Rinsal,9204,Rinsal#9204,1,True,9,1,37,201,3,2050.6
JP1_592160114,6oGP-ZuU2ixEVI26CuLX7pZQw0PNtibgle7FRlxhUpp05Zv0_H17LROd76zY-Pc4aNfYJ-vwJ2nlgw,LostFish,9823,LostFish#9823,4,True,7,22,33,103,1,1868.2
